#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-06T20:02:37 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-06T20:02:37	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FAN%2F336%2F70%2Ftable1&-out=_RA,_DE,HRV,e_HRV,GCVS&-out.max=1000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_113360070
#Name: J/AN/336/70
#Title: Velocities and proper motions of Galactic Cepheids (Mel'nik+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/an/336/70	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/an/336/70	    IVOID of underlying data collection
#INFO	creator=Mel&apos;nik A.M.	    First author or institution
#INFO	cites=bibcode:2015AN....336...70M	    Article or Data origin sources
#INFO	journal=AN	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AN/336/70	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.113360070	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-09-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AN_336_70_table1:
#Name: J/AN/336/70/table1
#Title: Data for 674 classical Cepheids
#Column	_RA	(F9.5)	Positions from Simbad, or from ASAS name (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from Simbad, or from ASAS name (declination part)	[ucd=pos.eq.dec;meta.main]
#Column	HRV	(F6.1)	[-126/126]? Heliocentric Radial velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	e_HRV	(F4.1)	[0.1/10]? rms uncertainty in HRV	[ucd=stat.error]
#Column	GCVS	(A9)	GCVS Identification	[ucd=meta.id;meta.main]
_RA	_DE	HRV	e_HRV	GCVS
078.86325	+37.37247	      	    	IN    Aur
085.62192	+37.64636	      	    	V0335 Aur
058.59071	+58.65333	 -26.5	 1.0	RW    Cam
061.24358	+58.65978	 -35.9	 0.3	RX    Cam
061.88658	+60.31853	 -77.2	 5.0	TV    Cam
056.53437	+58.78422	      	    	AB    Cam
050.94954	+59.35564	      	    	AC    Cam
052.35821	+60.44644	 -55.0	 5.0	AD    Cam
054.08396	+62.28719	      	    	AM    Cam
076.63183	+55.35353	      	    	CK    Cam
108.29862	-18.73075	      	    	RW    CMa
109.15683	-11.48731	  35.6	 0.3	RY    CMa
110.38692	-16.68722	  24.6	 2.0	RZ    CMa
111.53000	-25.25736	  73.1	 1.0	SS    CMa
107.31421	-13.78608	  39.0	 1.0	TV    CMa
110.50992	-14.31819	  66.5	 1.0	TW    CMa
111.61771	-25.92678	  40.1	 1.0	VZ    CMa
107.91733	-26.97786	      	    	WY    CMa
105.10346	-20.43169	      	    	XZ    CMa
109.16775	-24.50303	      	    	AI    CMa
110.43817	-26.53339	      	    	AL    CMa
110.69904	-26.71456	      	    	AM    CMa
111.16917	-26.18853	      	    	AO    CMa
110.28104	-21.51058	      	    	BC    CMa
111.62262	-27.92506	      	    	BY    CMa
107.39412	-18.56331	      	    	CN    CMa
108.72646	-22.23589	      	    	CP    CMa
109.24721	-15.30706	      	    	DZ    CMa
105.01212	-14.16081	      	    	FL    CMa
101.92937	-13.66664	      	    	GI    CMa
164.45079	-59.73219	   1.7	 1.0	U     Car
127.18208	-60.12258	  13.9	 1.0	V     Car
158.29521	-58.49864	      	    	Y     Car
161.52433	-57.54753	 -11.4	 2.0	SX    Car
156.71200	-59.66956	 -14.4	 2.0	UW    Car
157.29683	-57.61342	   8.1	 1.0	UX    Car
158.01846	-61.78264	   4.0	 2.0	UY    Car
159.07425	-61.01256	 -20.9	 2.0	UZ    Car
161.13621	-57.56536	   2.0	 1.0	VY    Car
162.89904	-59.38500	 -13.0	 2.0	WW    Car
163.82804	-60.94000	 -14.7	 1.0	WZ    Car
164.28842	-65.13475	 -10.9	 1.0	XX    Car
165.56696	-64.26292	  -5.6	 1.0	XY    Car
166.05612	-60.97992	   1.5	 1.0	XZ    Car
157.07021	-59.35019	   1.0	 1.0	YZ    Car
155.34575	-61.07408	   2.1	 1.0	AQ    Car
163.61192	-61.34717	   6.9	 1.0	CC    Car
164.77050	-60.27886	  -3.8	 2.0	CF    Car
153.88696	-58.17444	   9.0	 1.0	CN    Car
157.83375	-59.98000	  20.6	 0.7	CQ    Car
158.22529	-58.52097	  25.3	 5.0	CR    Car
158.65492	-58.02294	      	    	CS    Car
159.23233	-61.58136	 111.0	 5.0	CT    Car
164.46112	-60.74208	   8.6	 2.0	CY    Car
163.13667	-60.52678	  -1.3	 2.0	DY    Car
167.42142	-58.83772	 -19.0	 1.0	ER    Car
155.20712	-61.25197	      	    	EW    Car
160.59596	-61.16592	  18.0	 5.0	EY    Car
161.22546	-58.29800	      	    	FF    Car
162.75762	-58.59061	  13.2	 2.0	FI    Car
163.48475	-59.96472	  29.9	 1.0	FK    Car
165.10442	-60.99317	  39.7	 1.0	FM    Car
165.30996	-60.11658	 -13.0	 1.0	FN    Car
165.37792	-62.29083	 -10.8	 2.0	FO    Car
167.55354	-60.84747	      	    	FQ    Car
168.58842	-60.05292	  -7.3	 1.0	FR    Car
163.50742	-59.19969	  -1.6	 2.0	FZ    Car
167.68579	-60.75028	      	    	GH    Car
168.50017	-57.91092	 -20.6	 1.0	GI    Car
162.97542	-61.46731	  32.1	 2.0	GS    Car
164.85858	-59.48636	      	    	GT    Car
148.85900	-58.42969	      	    	GX    Car
155.08487	-59.37661	      	    	GZ    Car
165.93842	-60.64228	      	    	HK    Car
156.14246	-59.53597	   5.9	 2.0	HS    Car
159.83471	-61.15244	      	    	HW    Car
162.20437	-60.06306	      	    	II    Car
162.24000	-64.17419	      	    	IK    Car
163.78787	-60.54772	   3.8	 2.0	IM    Car
164.10929	-60.73267	      	    	IO    Car
165.36854	-64.29064	      	    	IP    Car
168.04221	-61.75486	 -14.9	 1.0	IT    Car
150.01537	-66.27625	  10.1	 2.0	V0397 Car
146.31171	-62.50792	   3.6	 1.0	l     Car
354.31692	+62.42900	 -33.2	 0.3	RS    Cas
024.30842	+57.75922	 -71.5	 0.3	RW    Cas
358.02929	+58.74172	 -84.0	 0.2	RY    Cas
042.99479	+68.88850	  -6.7	 0.1	SU    Cas
346.79200	+58.55419	 -41.6	 0.3	SW    Cas
003.79087	+58.42428	 -45.6	 0.2	SY    Cas
036.80737	+59.46061	 -45.9	 1.0	SZ    Cas
006.58104	+51.28036	      	    	TU    Cas
018.17150	+61.21336	 -51.0	 1.0	UZ    Cas
027.77929	+59.88819	 -50.5	 1.0	VV    Cas
016.45092	+61.75494	 -58.5	 1.0	VW    Cas
012.47192	+60.12739	 -42.0	 1.0	XY    Cas
008.31733	+62.90722	 -44.5	 1.0	AP    Cas
006.40717	+64.22989	      	    	AS    Cas
019.00500	+61.62069	      	    	AW    Cas
024.74996	+64.98928	      	    	AY    Cas
002.46412	+61.51403	      	    	BD    Cas
003.51350	+60.98625	 -61.5	 5.0	BF    Cas
018.75454	+65.59942	 -46.5	 1.0	BP    Cas
022.50496	+62.28406	      	    	BV    Cas
026.79967	+61.42250	 -55.4	 1.1	BY    Cas
356.26096	+63.00386	 -54.9	 2.0	CD    Cas
359.53937	+61.21369	      	    	CEA   Cas
359.53792	+61.21361	      	    	CEB   Cas
359.57492	+61.22106	 -77.8	 0.3	CF    Cas
000.24687	+60.95894	 -75.8	 0.5	CG    Cas
350.61850	+62.75714	 -50.9	 1.7	CH    Cas
005.01279	+63.17978	 -55.3	 5.0	CT    Cas
352.30321	+63.37431	      	    	CY    Cas
354.86362	+62.37219	      	    	CZ    Cas
359.39567	+62.71825	 -69.7	 0.2	DD    Cas
041.18046	+61.46469	 -33.0	10.0	DF    Cas
007.49412	+60.21197	 -36.8	 0.3	DL    Cas
354.70162	+59.39183	 -51.3	 1.5	DW    Cas
000.67412	+61.86108	      	    	EX    Cas
003.61767	+56.25294	 -29.2	 0.2	FM    Cas
004.26042	+60.80281	-125.9	 5.0	FO    Cas
009.18550	+62.27425	      	    	FW    Cas
032.69317	+59.25364	      	    	GL    Cas
036.73629	+60.57144	      	    	GM    Cas
038.77408	+59.38408	      	    	GO    Cas
014.33350	+55.43883	      	    	HK    Cas
026.76129	+59.60625	-109.2	 5.0	IO    Cas
001.21175	+50.23486	      	    	IX    Cas
357.48333	+59.94069	      	    	KK    Cas
041.46458	+63.30458	 -68.0	 5.0	LT    Cas
005.99017	+62.95017	      	    	NP    Cas
010.09667	+58.61853	      	    	NY    Cas
011.62462	+63.54331	      	    	OP    Cas
018.58133	+62.04400	      	    	OZ    Cas
351.49367	+61.26686	      	    	PW    Cas
345.33808	+57.86703	      	    	V0342 Cas
006.64979	+60.79819	 -38.2	 0.4	V0379 Cas
032.62154	+63.29753	      	    	V0395 Cas
358.60237	+62.14947	      	    	V0407 Cas
017.04583	+62.26992	      	    	V0553 Cas
023.18012	+63.59381	 -25.2	 0.1	V0636 Cas
005.63042	+63.03306	      	    	V0824 Cas
009.32829	+63.21567	      	    	V0827 Cas
218.13783	-56.88772	 -23.2	 1.0	V     Cen
218.79942	-60.99794	 -52.0	 1.0	TX    Cen
175.24387	-62.69247	      	    	UZ    Cen
203.49596	-64.05556	 -30.8	 1.0	VW    Cen
205.07767	-57.61317	 -18.8	 1.0	XX    Cen
171.27396	-60.73461	 -15.5	 2.0	AY    Cen
171.30412	-61.36917	 -11.5	 1.0	AZ    Cen
178.38975	-62.85219	 -15.8	 1.0	BB    Cen
177.31671	-63.07858	      	    	BK    Cen
175.33104	-62.26475	      	    	IZ    Cen
175.70092	-58.99339	  -2.7	 1.0	KK    Cen
204.15371	-64.55831	 -39.7	 1.0	KN    Cen
173.32421	-63.24236	 -16.7	 2.0	LV    Cen
197.76858	-61.62703	      	    	MY    Cen
198.50700	-64.32486	 -30.6	 5.0	MZ    Cen
201.62533	-63.16261	 -35.7	 2.0	OO    Cen
212.07137	-61.73642	 -58.7	 1.0	QY    Cen
215.45229	-61.54961	 -24.4	 1.0	V0339 Cen
199.74287	-62.38233	 -16.5	 1.0	V0378 Cen
207.68454	-57.58050	 -31.8	 1.0	V0381 Cen
172.72679	-56.89883	 -15.2	 1.0	V0419 Cen
195.79450	-60.87747	      	    	V0496 Cen
202.88921	-61.58236	 -12.8	 5.0	V0659 Cen
216.21208	-34.66250	      	    	V0675 Cen
219.29987	-62.01089	      	    	V0737 Cen
167.83487	-54.55703	      	    	V0898 Cen
337.20871	+58.21094	 -56.9	 0.7	AK    Cep
351.39496	+64.79039	      	    	CN    Cep
329.46954	+56.16392	 -40.8	 0.2	CP    Cep
341.60321	+59.44219	 -32.3	 1.0	CR    Cep
312.27329	+58.89919	      	    	DR    Cep
329.46637	+61.01886	  -5.4	 0.1	IR    Cep
331.89625	+55.36167	      	    	IY    Cep
332.74300	+56.29161	      	    	KO    Cep
335.91087	+57.68078	      	    	MU    Cep
338.42233	+57.31831	      	    	V0351 Cep
337.29279	+58.41519	 -17.4	 1.0	del   Cep
222.62625	-67.49761	      	    	AV    Cir
223.14692	-63.80983	 -25.5	 2.0	AX    Cir
221.67492	-61.46194	      	    	BP    Cir
185.90704	-61.62914	 -16.5	 1.0	R     Cru
193.59167	-58.43061	  -7.1	 1.0	S     Cru
185.33804	-62.28164	  -9.8	 1.0	T     Cru
191.59279	-59.12475	 -25.0	 1.0	X     Cru
184.57054	-63.28017	 -33.6	 2.0	SU    Cru
179.47387	-62.64614	      	    	SV    Cru
181.66771	-62.59686	      	    	TY    Cru
185.88250	-64.47089	      	    	VV    Cru
188.32783	-63.50639	  -2.7	 2.0	VW    Cru
188.59737	-61.23761	 -28.5	 1.0	VX    Cru
183.24862	-62.09683	 -34.3	 1.0	AD    Cru
190.35825	-59.79411	  -8.5	 1.0	AG    Cru
187.91804	-59.42392	 -20.3	 1.0	BG    Cru
310.85079	+35.58781	   7.5	 0.1	X     Cyg
296.20304	+29.26469	 -21.4	 0.1	SU    Cyg
308.22621	+46.60128	 -12.1	 1.0	SZ    Cyg
315.02658	+42.59756	 -20.4	 1.0	TX    Cyg
314.33679	+40.17750	 -17.5	 0.3	VX    Cyg
316.06933	+39.97225	 -11.9	 1.0	VY    Cyg
327.92267	+43.13403	 -15.3	 2.4	VZ    Cyg
311.49917	+45.30700	 -10.6	 0.6	BZ    Cyg
301.11067	+34.11228	 -12.5	 0.2	CD    Cyg
316.62600	+31.18467	  -1.2	 0.1	DT    Cyg
296.26537	+31.33081	      	    	EP    Cyg
297.82204	+32.67553	      	    	EU    Cyg
298.59746	+31.22694	      	    	EX    Cyg
299.45425	+30.26594	      	    	EZ    Cyg
299.79500	+29.45075	 -11.1	 1.0	GH    Cyg
299.89050	+33.74608	      	    	GI    Cyg
300.89454	+39.15964	 -59.0	 5.0	GL    Cyg
297.53437	+34.16600	      	    	IU    Cyg
298.89083	+31.76389	      	    	IY    Cyg
306.08058	+40.56114	      	    	KX    Cyg
303.09512	+32.87161	 -13.3	 0.2	MW    Cyg
299.71475	+37.64725	      	    	QY    Cyg
301.01867	+39.10422	 -93.0	 5.0	V0343 Cyg
312.86075	+46.12106	      	    	V0347 Cyg
316.94417	+46.73697	      	    	V0356 Cyg
307.24233	+34.13511	      	    	V0383 Cyg
318.66846	+41.71636	  -6.9	 0.2	V0386 Cyg
304.05283	+42.10878	      	    	V0396 Cyg
302.28233	+37.15197	 -13.5	 0.1	V0402 Cyg
304.72629	+40.06453	 -10.2	 1.0	V0438 Cyg
317.72658	+49.14206	 -23.0	 0.3	V0459 Cyg
302.80662	+35.41356	      	    	V0492 Cyg
303.99304	+35.01472	 -10.2	 0.5	V0495 Cyg
311.55242	+45.47858	      	    	V0514 Cyg
313.73971	+47.53381	 -23.3	 0.5	V0520 Cyg
320.13708	+45.46750	 -15.3	 0.1	V0532 Cyg
324.36721	+51.76247	 -17.3	 0.3	V0538 Cyg
299.44208	+35.63608	      	    	V0547 Cyg
301.83833	+40.17811	      	    	V0554 Cyg
321.73337	+54.49150	      	    	V0609 Cyg
323.16833	+49.21250	      	    	V0621 Cyg
294.54829	+32.48956	 -12.9	 0.2	V0924 Cyg
299.78762	+32.69544	      	    	V1020 Cyg
300.19317	+30.90761	      	    	V1025 Cyg
301.33625	+32.65889	      	    	V1033 Cyg
304.19787	+36.54997	      	    	V1046 Cyg
297.06446	+43.12694	  -4.4	 0.1	V1154 Cyg
319.84242	+38.23747	  -5.2	 1.0	V1334 Cyg
301.87262	+35.34639	      	    	V1364 Cyg
301.00908	+32.45067	      	    	V1467 Cyg
322.41233	+48.96897	 -15.8	 0.1	V1726 Cyg
316.07008	+49.74439	      	    	V2201 Cyg
083.40633	-62.48983	   7.3	 1.0	bet   Dor
098.73937	+15.33047	   2.1	 0.3	W     Gem
090.65246	+22.23414	  14.0	 1.0	RZ    Gem
091.64562	+26.32922	  19.2	 2.0	AA    Gem
100.78129	+20.93911	  45.0	 1.0	AD    Gem
098.64708	+13.07908	  64.3	 1.0	BB    Gem
093.99950	+23.74750	  37.0	 2.0	BW    Gem
098.47754	+14.47139	  16.0	 1.0	DX    Gem
106.02721	+20.57031	   5.7	 0.1	zet   Gem
281.47542	+12.33614	  88.5	 0.1	BB    Her
342.15833	+56.32153	 -24.0	 0.5	V     Lac
342.26325	+56.42819	 -25.0	 0.2	X     Lac
332.26208	+51.04586	 -23.6	 0.4	Y     Lac
340.21729	+56.82947	 -33.9	 0.6	Z     Lac
340.36054	+56.43278	 -38.4	 0.2	RR    Lac
330.10475	+43.44536	 -18.6	 1.0	BG    Lac
335.31996	+54.53203	      	    	DF    Lac
332.32733	+51.40539	      	    	IT    Lac
231.15975	-52.85386	 -16.1	 1.0	GH    Lup
288.99787	+27.92631	      	    	V0473 Lyr
096.30417	+07.08572	  20.9	 0.3	T     Mon
095.35958	+06.47017	  29.9	 0.4	SV    Mon
102.63475	+00.00700	  83.0	 5.0	TW    Mon
102.71779	-01.42922	  62.0	 3.0	TX    Mon
104.16583	+00.19003	  59.5	 2.0	TY    Mon
104.50387	-00.37594	  52.0	 2.0	TZ    Mon
104.70967	+09.62275	  34.9	 2.0	UY    Mon
096.84546	+08.97333	      	    	VW    Mon
097.81058	+11.85036	  33.0	 5.0	VZ    Mon
098.40492	+09.20353	  52.5	 5.0	WW    Mon
103.05071	-02.80697	  66.4	 1.0	XX    Mon
103.54767	-07.66436	      	    	YY    Mon
104.34904	-03.84333	  66.1	 2.0	AA    Mon
105.24925	-08.70900	  40.5	 1.0	AC    Mon
100.02325	+07.60583	  45.4	 1.0	BE    Mon
104.21287	+04.51617	      	    	BV    Mon
098.04558	+06.65306	      	    	CS    Mon
098.19500	+00.04314	  63.8	 5.0	CU    Mon
099.27017	+03.06397	  18.9	 1.0	CV    Mon
096.43279	+06.65517	      	    	DP    Mon
102.70283	-07.98072	  68.9	10.0	EE    Mon
103.19237	-02.45822	      	    	EK    Mon
106.78562	-07.79514	  88.7	 2.0	FG    Mon
107.65829	-07.12289	  85.8	 2.0	FI    Mon
095.40033	+04.07358	  55.4	 5.0	FT    Mon
102.20008	-03.60467	      	    	V0376 Mon
100.82246	+01.16092	      	    	V0446 Mon
101.06662	+04.49836	  55.6	 5.0	V0447 Mon
107.03879	-00.06569	  60.7	 1.0	V0465 Mon
097.77267	-02.14681	      	    	V0484 Mon
099.26408	-02.82408	  67.4	 5.0	V0495 Mon
101.18292	-03.95250	      	    	V0504 Mon
101.78917	+03.96711	  58.8	 1.0	V0508 Mon
101.86221	+02.51706	  63.3	 5.0	V0510 Mon
105.47342	-01.13097	      	    	V0526 Mon
103.10000	+02.70706	      	    	V0784 Mon
190.52096	-69.40756	   0.1	 1.0	R     Mus
183.19592	-70.15178	  -1.7	 1.0	S     Mus
176.13700	-67.30525	  -5.5	 1.0	RT    Mus
177.73504	-65.14072	 -24.6	 1.0	TZ    Mus
178.07383	-65.40419	 -17.0	 1.0	UU    Mus
184.39042	-65.75389	      	    	UX    Mus
193.43283	-65.89969	      	    	GP    Mus
244.71596	-57.89978	   5.8	 1.0	S     Nor
235.58717	-55.31192	 -21.8	 1.0	U     Nor
241.29150	-53.91942	 -40.5	 1.0	RS    Nor
238.67837	-54.56642	 -32.9	 1.0	SY    Nor
241.23008	-51.95353	 -56.6	 1.0	TW    Nor
243.72812	-53.33844	 -24.5	 1.0	GU    Nor
228.20629	-54.75528	      	    	IQ    Nor
242.83525	-54.35411	 -38.6	 2.0	QZ    Nor
256.52292	-26.58056	 -29.0	 1.0	BF    Oph
095.55496	+14.67814	  42.7	 0.5	RS    Ori
091.43633	+13.24000	      	    	CR    Ori
091.85612	+11.15197	  38.0	 3.0	CS    Ori
092.85467	+11.80003	      	    	CU    Ori
093.09150	+13.63661	      	    	CV    Ori
096.01725	+11.70886	      	    	DF    Ori
092.80658	+09.61250	  43.9	 1.0	GQ    Ori
089.39333	+19.81992	      	    	V0336 Ori
079.69992	+13.98669	      	    	V0432 Ori
072.44975	+42.28972	  -4.5	 2.0	SV    Per
064.27525	+41.73183	   5.5	 1.0	SX    Per
033.28129	+58.07997	 -51.0	 2.0	UX    Per
038.63037	+58.83169	 -45.0	 1.0	UY    Per
031.95200	+58.44353	 -35.4	 1.0	VX    Per
036.89767	+58.91722	 -40.0	 2.0	VY    Per
064.94525	+48.95328	 -25.5	 1.0	AS    Per
071.94300	+36.72281	  -0.5	 0.5	AW    Per
067.41417	+48.42197	 -41.8	 1.2	BM    Per
031.25912	+57.14292	      	    	CI    Per
038.46904	+57.02756	      	    	DW    Per
065.82992	+44.23686	      	    	GP    Per
070.99117	+40.83478	 -34.8	 5.0	HQ    Per
066.40537	+45.62028	 -29.7	 5.0	HZ    Per
056.34733	+48.08350	      	    	MM    Per
069.65804	+47.74025	 -44.4	 5.0	OT    Per
035.96562	+55.36486	 -25.5	 0.1	V0440 Per
113.19596	-20.90969	  65.3	 1.0	X     Pup
123.26758	-34.57853	  22.1	 1.0	RS    Pup
112.95454	-20.14967	  58.0	 3.0	VW    Pup
113.15271	-21.93042	      	    	VX    Pup
114.64683	-28.49961	  63.3	 1.0	VZ    Pup
115.47871	-21.13308	  89.0	 5.0	WW    Pup
115.49583	-25.87619	  54.6	 1.0	WX    Pup
119.52142	-24.04178	  73.0	 3.0	WY    Pup
120.09546	-23.70317	  64.0	 1.0	WZ    Pup
117.01604	-25.57778	  67.5	 1.0	AD    Pup
119.44029	-40.12336	  15.9	 1.0	AP    Pup
119.59204	-29.13008	  59.5	 1.0	AQ    Pup
123.09333	-36.94375	  26.7	10.0	AT    Pup
112.51062	-23.67400	  93.7	 5.0	BC    Pup
112.66125	-24.68753	      	    	BD    Pup
117.51300	-28.25519	      	    	BM    Pup
121.58950	-30.09689	  65.7	 2.0	BN    Pup
112.81550	-25.90742	      	    	BQ    Pup
123.53350	-42.56817	      	    	CE    Pup
111.82871	-25.78536	 125.1	 5.0	CK    Pup
112.67662	-20.45197	      	    	CM    Pup
115.45717	-25.04181	      	    	EK    Pup
122.79504	-33.51586	      	    	HL    Pup
119.42567	-27.60192	 117.0	 2.0	HW    Pup
118.45325	-30.46033	      	    	LL    Pup
119.05200	-32.60264	      	    	LQ    Pup
119.26550	-28.16158	      	    	LR    Pup
119.74675	-29.30789	  77.4	 1.0	LS    Pup
114.57587	-48.60144	  12.7	 1.0	MY    Pup
119.69308	-38.99439	      	    	NT    Pup
113.41167	-16.31711	      	    	OO    Pup
119.24042	-22.82544	      	    	V0335 Pup
299.00525	+16.63481	  -9.9	 0.1	S     Sge
295.14633	+19.28558	      	    	DG    Sge
292.79371	+19.25711	      	    	GX    Sge
277.97221	-19.12508	   2.7	 0.1	U     Sgr
271.25508	-29.58008	 -28.3	 1.0	W     Sgr
266.89008	-27.83078	 -13.7	 1.0	X     Sgr
275.34579	-18.86000	  -2.5	 1.0	Y     Sgr
273.01904	-20.70406	  -6.0	 1.0	VY    Sgr
274.24883	-19.07583	 -18.1	 0.2	WZ    Sgr
276.18542	-16.79717	   2.0	 1.0	XX    Sgr
282.36912	-16.72303	  18.5	 1.0	YZ    Sgr
273.26042	-23.11728	 -15.0	 1.0	AP    Sgr
271.20325	-22.73239	   0.0	 1.0	AV    Sgr
275.82979	-18.57478	 -26.5	 1.0	AY    Sgr
282.74946	-20.29522	   6.4	 0.1	BB    Sgr
281.32292	-20.64739	  11.2	 0.2	V0350 Sgr
268.57333	-26.75819	  -0.9	 2.0	V0773 Sgr
273.85946	-20.62956	  12.7	 2.0	V1954 Sgr
254.58229	-33.60911	 -16.6	10.0	RV    Sco
267.71808	-33.70567	 -17.7	 1.0	RY    Sco
252.91062	-45.42669	 -22.1	 1.0	KQ    Sco
259.35608	-37.31886	      	    	V0470 Sco
262.70158	-33.60992	  10.7	 2.0	V0482 Sco
267.15625	-30.47597	 -10.8	 2.0	V0500 Sco
260.69367	-45.61428	   8.3	 1.0	V0636 Sco
264.40650	-40.81353	  13.5	 2.0	V0950 Sco
277.83229	-13.10819	 -11.1	 1.0	X     Sct
