galaxy,stationary_role,side,side_color,sample_index,radius_kpc_source,sigma_hi_msun_pc2,source_x_pdf,source_y_pdf,source_figure,source_asset,source_quantity,helium_applied
NGC5907,calibration,approaching,blue,42,44.242720020,0.625063898,1737.152222,232.866455,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,43,45.296134251,0.625063898,1741.724487,232.866455,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,44,46.349520358,0.599104015,1746.296631,233.451782,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,45,47.402934588,0.599104015,1750.868896,233.451782,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,46,48.456320695,0.599104015,1755.441040,233.451782,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,47,49.509734926,0.000010013,1760.013306,246.959778,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,48,50.563121033,0.000010013,1764.585449,246.959778,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,49,51.616507139,0.000010013,1769.157593,246.959778,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,50,52.669921370,0.000010013,1773.729858,246.959778,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,51,53.723307477,0.000010013,1778.302002,246.959778,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,52,54.776721708,0.000010013,1782.874268,246.959778,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,approaching,blue,53,55.830107814,0.000010013,1787.446411,246.959778,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,0,-0.000002694,2.396415800,1545.119995,192.927124,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,1,1.053383413,2.715936210,1549.692139,185.722778,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,2,2.106797644,2.715936210,1554.264404,185.722778,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,3,3.160183750,2.715936210,1558.836548,185.722778,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,4,4.213597981,2.749887081,1563.408813,184.957275,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,5,5.266984088,2.783835245,1567.980957,184.191833,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,6,6.320398319,2.817783409,1572.553223,183.426392,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,7,7.373784425,3.774352307,1577.125366,161.858276,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,8,8.427170532,4.668016539,1581.697510,141.708496,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,9,9.480584763,5.409906139,1586.269775,124.980835,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,10,10.533970869,6.080902791,1590.841919,109.851624,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,11,11.587385100,6.062928482,1595.414185,110.256897,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,12,12.640771207,4.443351212,1599.986328,146.774109,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,13,13.694185438,4.043950699,1604.558594,155.779541,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,14,14.747571544,4.088883765,1609.130737,154.766418,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,15,15.800985775,4.593128097,1613.703003,143.397034,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,16,16.854371882,6.500275360,1618.275146,100.395874,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,17,17.907757988,6.570169435,1622.847290,98.819946,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,18,18.961172219,5.501770017,1627.419556,122.909546,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,19,20.014558326,3.834263061,1631.991699,160.507446,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,20,21.067972557,3.874204466,1636.563965,159.606873,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,21,22.121358663,1.957071174,1641.136108,202.833191,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,22,23.174772894,1.977043230,1645.708374,202.382874,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,23,24.228159001,2.596114703,1650.280518,188.424438,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,24,25.281545107,4.230669661,1654.852661,151.569519,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,25,26.334959338,4.453927361,1659.424927,146.535645,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,26,27.388345445,3.800723650,1663.997070,161.263672,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,27,28.441759676,1.246135825,1668.569336,218.862915,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,28,29.495145782,1.677489462,1673.141479,209.137024,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,29,30.548560013,1.693466024,1677.713745,208.776794,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,30,31.601946120,1.175242876,1682.285889,220.461365,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,31,32.655360350,1.186225071,1686.858154,220.213745,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,32,33.708746457,1.197209972,1691.430298,219.966064,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,33,34.762132564,1.131906926,1696.002441,221.438477,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,34,35.815546795,1.414883184,1700.574707,215.058105,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,35,36.868932901,1.414883184,1705.146851,215.058105,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,36,37.922347132,1.115332123,1709.719116,221.812195,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,37,38.975733239,1.115332123,1714.291260,221.812195,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,38,40.029147469,1.115332123,1718.863525,221.812195,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,39,41.082533576,1.019583737,1723.435669,223.971069,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,40,42.135919683,0.829123737,1728.007812,228.265442,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,41,43.189333914,0.765829265,1732.580078,229.692566,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,42,44.242720020,0.702534794,1737.152222,231.119690,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,43,45.296134251,0.540216498,1741.724487,234.779541,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,44,46.349520358,0.377895495,1746.296631,238.439453,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,45,47.402934588,0.268124983,1750.868896,240.914490,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,46,48.456320695,0.268124983,1755.441040,240.914490,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,47,49.509734926,0.435348316,1760.013306,237.144043,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,48,50.563121033,0.435348316,1764.585449,237.144043,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,49,51.616507139,0.435348316,1769.157593,237.144043,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,50,52.669921370,0.435348316,1773.729858,237.144043,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,51,53.723307477,0.435348316,1778.302002,237.144043,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,52,54.776721708,0.435348316,1782.874268,237.144043,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,receding,red,53,55.830107814,0.435348316,1787.446411,237.144043,Allaert et al. 2015 Figure 29,Final_params_all.pdf,source-native side-specific Sigma_HI,no recovery scaling; source quantity is explicitly Sigma_HI
