galaxy,stationary_role,request_from_lelli,expected_in_169_profile_compilation,current_effective_status,public_overlay_present,effective_public_source_family,preferred_public_source,effective_source_artifact,request_reason,requested_payload
DDO170,blind,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC11914,blind,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGCA442,blind,1,1,direct_profile_identified_numeric_pending,1,Cote Carignan & Freeman 2000,0,validation/stationary/COTE2000_PROFILE_AUDIT_V1.md,public_route_identified_or_candidate_but_not_yet_certified_request_private_compilation_exact_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGCA444,blind,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
DDO064,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
DDO161,calibration,1,1,direct_profile_identified_numeric_pending,1,Cote Carignan & Freeman 2000,0,validation/stationary/COTE2000_PROFILE_AUDIT_V1.md,public_route_identified_or_candidate_but_not_yet_certified_request_private_compilation_exact_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
ESO563-G021,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
F571-8,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
F571-V1,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
IC4202,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC0891,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC1090,calibration,1,1,recover_exact_extraction_artifact,1,previous direct-profile branch,0,PROJECT_LEDGER.md,public_route_identified_or_candidate_but_not_yet_certified_request_private_compilation_exact_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC2683,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC2915,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC2998,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC3109,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC3726,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC3741,calibration,1,1,direct_profile_identified_numeric_pending,1,Begum et al. 2008,0,validation/stationary/BEGUM_CHENGALUR_PROFILE_AUDIT_V1.md,public_route_identified_or_candidate_but_not_yet_certified_request_private_compilation_exact_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC3769,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC3877,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC3893,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC3917,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC3972,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC4010,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC4013,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC4051,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC4068,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC4085,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC4088,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC4183,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC4217,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC4559,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC5371,calibration,1,1,vector_profile_candidate_recovered,1,Begeman 1987 / Hoekstra van Albada & Sancisi 2001 vector republication,1,data/stationary/source_reconstruction/hoekstra2001_be87_hi_vector_profiles_candidate_v1.csv,public_route_identified_or_candidate_but_not_yet_certified_request_private_compilation_exact_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC5985,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC6195,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC6503,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
NGC7814,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC00128,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC00191,calibration,1,1,source_family_identified_numeric_pending,1,van Zee et al. 1997,0,validation/stationary/VANZEE1997_PROFILE_AUDIT_V1.md,public_route_identified_or_candidate_but_not_yet_certified_request_private_compilation_exact_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC00731,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC00891,calibration,1,1,source_family_identified_numeric_pending,1,van Zee et al. 1997,0,validation/stationary/VANZEE1997_PROFILE_AUDIT_V1.md,public_route_identified_or_candidate_but_not_yet_certified_request_private_compilation_exact_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC02259,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC02487,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC02885,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC02916,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC02953,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC03205,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC03546,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC03580,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC04278,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC04325,calibration,1,1,vector_profile_candidate_recovered,1,Elson 2017 / WHISP (Butler et al. 2017 reconstruction sample),1,data/stationary/source_reconstruction/elson2017_whisp_vector_profiles_candidate_v1.csv,public_route_identified_or_candidate_but_not_yet_certified_request_private_compilation_exact_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC04499,calibration,1,1,vector_profile_candidate_recovered,1,Elson 2017 / WHISP (Butler et al. 2017 reconstruction sample),1,data/stationary/source_reconstruction/elson2017_whisp_vector_profiles_candidate_v1.csv,public_route_identified_or_candidate_but_not_yet_certified_request_private_compilation_exact_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC05005,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC05253,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC05414,calibration,1,1,vector_profile_candidate_recovered,1,Elson 2017 / WHISP (Butler et al. 2017 reconstruction sample),1,data/stationary/source_reconstruction/elson2017_whisp_vector_profiles_candidate_v1.csv,public_route_identified_or_candidate_but_not_yet_certified_request_private_compilation_exact_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC05750,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC05764,calibration,1,1,source_family_identified_numeric_pending,1,van Zee et al. 1997,0,validation/stationary/VANZEE1997_PROFILE_AUDIT_V1.md,public_route_identified_or_candidate_but_not_yet_certified_request_private_compilation_exact_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC06399,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC06446,calibration,1,1,vector_profile_candidate_recovered,1,Elson 2017 / WHISP (Butler et al. 2017 reconstruction sample),1,data/stationary/source_reconstruction/elson2017_whisp_vector_profiles_candidate_v1.csv,public_route_identified_or_candidate_but_not_yet_certified_request_private_compilation_exact_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC06614,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC06667,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC06786,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC06787,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC06818,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC06917,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC06930,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC06983,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC07125,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC07261,calibration,1,1,vector_profile_candidate_recovered,1,Elson 2017 / WHISP (Butler et al. 2017 reconstruction sample),1,data/stationary/source_reconstruction/elson2017_whisp_vector_profiles_candidate_v1.csv,public_route_identified_or_candidate_but_not_yet_certified_request_private_compilation_exact_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC07323,calibration,1,1,vector_profile_candidate_recovered,1,Elson 2017 / WHISP (Butler et al. 2017 reconstruction sample),1,data/stationary/source_reconstruction/elson2017_whisp_vector_profiles_candidate_v1.csv,public_route_identified_or_candidate_but_not_yet_certified_request_private_compilation_exact_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC07399,calibration,1,1,vector_profile_candidate_recovered,1,Elson 2017 / WHISP (Butler et al. 2017 reconstruction sample),1,data/stationary/source_reconstruction/elson2017_whisp_vector_profiles_candidate_v1.csv,public_route_identified_or_candidate_but_not_yet_certified_request_private_compilation_exact_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC07524,calibration,1,1,vector_profile_candidate_recovered,1,Elson 2017 / WHISP (Butler et al. 2017 reconstruction sample),1,data/stationary/source_reconstruction/elson2017_whisp_vector_profiles_candidate_v1.csv,public_route_identified_or_candidate_but_not_yet_certified_request_private_compilation_exact_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC07577,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC07603,calibration,1,1,available_nonpublic_request_required,0,,0,,profile_reported_in_169_compilation_but_no_certified_public_numeric_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC07690,calibration,1,1,vector_profile_candidate_recovered,1,Elson 2017 / WHISP (Butler et al. 2017 reconstruction sample),1,data/stationary/source_reconstruction/elson2017_whisp_vector_profiles_candidate_v1.csv,public_route_identified_or_candidate_but_not_yet_certified_request_private_compilation_exact_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
UGC07866,calibration,1,1,vector_profile_candidate_recovered,1,Elson 2017 / WHISP (Butler et al. 2017 reconstruction sample),1,data/stationary/source_reconstruction/elson2017_whisp_vector_profiles_candidate_v1.csv,public_route_identified_or_candidate_but_not_yet_certified_request_private_compilation_exact_series,radius; radial HI surface density; radius units; surface-density units; helium convention; adopted distance; inclination; beam/radial sampling; original source citation
