galaxy,stationary_role,acquisition_status,source_artifact,source_quantity,source_helium_status,frozen_distance_mpc,source_distance_mpc,radius_mapping_method,radius_multiplicative_factor_if_source_kpc,source_helium_factor_relative_to_raw_HI,helium_mapping_method,surface_density_multiplier_to_common_1p33,common_surface_density_convention,inclination_amplitude_rescale,normalization_ready
NGC2903,calibration,raw_source_profile_ingested,data/stationary/source_reconstruction/feasts2025_ngc2903_hi_profile_raw_v1.csv,deprojected radial atomic HI surface density from FEASTS total-power profile; angular radius retained and converted to frozen distance,raw atomic HI; helium not included,6.6,,explicit_frozen_radius,1,1.0,raw_HI_to_common_1p33,1.33,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
NGC2976,calibration,raw_source_profile_ingested,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,source-published SigmaHI,already includes helium,3.58,3.6,source_kpc_times_frozen_over_source_distance,0.994444444444,1.36,source_includes_1p36_to_common_1p33,0.977941176471,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
NGC3198,calibration,raw_source_profile_ingested,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,source-published SigmaHI,already includes helium,13.8,13.8,source_kpc_times_frozen_over_source_distance,1,1.36,source_includes_1p36_to_common_1p33,0.977941176471,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
NGC3521,blind,raw_source_profile_ingested,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,source-published SigmaHI,already includes helium,7.7,10.7,source_kpc_times_frozen_over_source_distance,0.719626168224,1.36,source_includes_1p36_to_common_1p33,0.977941176471,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
NGC4559,calibration,raw_source_profile_ingested,data/stationary/source_reconstruction/feasts2025_ngc4559_hi_profile_raw_v1.csv,deprojected radial atomic HI surface density from FEASTS total-power profile; angular radius retained and converted to frozen distance,raw atomic HI; helium not included,9,,explicit_frozen_radius,1,1.0,raw_HI_to_common_1p33,1.33,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
NGC5033,blind,raw_source_profile_ingested,data/stationary/source_reconstruction/feasts2025_ngc5033_hi_profile_raw_v1.csv,deprojected radial atomic HI surface density from FEASTS total-power profile; angular radius retained and converted to frozen distance,raw atomic HI; helium not included,15.7,,explicit_frozen_radius,1,1.0,raw_HI_to_common_1p33,1.33,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
NGC5055,blind,raw_source_profile_ingested,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,source-published SigmaHI,already includes helium,9.9,10.1,source_kpc_times_frozen_over_source_distance,0.980198019802,1.36,source_includes_1p36_to_common_1p33,0.977941176471,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
NGC5907,calibration,raw_source_profile_ingested,data/stationary/source_reconstruction/sa87_ngc5907_heroes2015_hi_side_profiles_v1.csv,source-native side-specific Sigma_HI: 54 approaching + 54 receding; separate 54-bin deterministic Paper-I m=0 mean retained,no recovery scaling; values preserved as source-labeled Sigma_HI,17.3,16.3,source_kpc_times_frozen_over_source_distance,1.06134969325,1.0,raw_HI_to_common_1p33,1.33,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
NGC6015,calibration,raw_source_profile_ingested,data/stationary/source_reconstruction/vm97_ngc6015_hi_profile_v1.csv,source-native radial H I surface density from pure-vector Figure 3d M3 markers,helium not applied; source H I surface density preserved,17,,angular_radius_times_frozen_distance,,1.0,raw_HI_to_common_1p33,1.33,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
NGC6946,blind,raw_source_profile_ingested,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,source-published SigmaHI,already includes helium,5.52,5.9,source_kpc_times_frozen_over_source_distance,0.935593220339,1.36,source_includes_1p36_to_common_1p33,0.977941176471,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
NGC7331,calibration,raw_source_profile_ingested,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,source-published SigmaHI,already includes helium,14.7,14.7,source_kpc_times_frozen_over_source_distance,1,1.36,source_includes_1p36_to_common_1p33,0.977941176471,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
NGC7793,blind,raw_source_profile_ingested,data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv,source-published SigmaHI,already includes helium,3.61,3.9,source_kpc_times_frozen_over_source_distance,0.925641025641,1.36,source_includes_1p36_to_common_1p33,0.977941176471,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
UGC04483,calibration,raw_source_profile_ingested,data/stationary/source_reconstruction/lelli2012b_ugc4483_hi_profile_v1.csv,inclination-corrected azimuthally averaged HI surface density; whole-galaxy Figure 6 dot series,helium not applied; source profile is HI surface density,3.34,,angular_radius_times_frozen_distance,,1.0,raw_HI_to_common_1p33,1.33,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
UGC05918,calibration,raw_source_profile_ingested,data/stationary/source_reconstruction/iorio2017_ddo87_ddo126_hi_profiles_v1.csv,raw HI surface density,helium not included,7.66,,angular_radius_times_frozen_distance,,1.0,raw_HI_to_common_1p33,1.33,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
UGC07559,calibration,raw_source_profile_ingested,data/stationary/source_reconstruction/iorio2017_ddo87_ddo126_hi_profiles_v1.csv,raw HI surface density,helium not included,4.97,,angular_radius_times_frozen_distance,,1.0,raw_HI_to_common_1p33,1.33,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
UGC09037,calibration,raw_source_profile_ingested,data/stationary/source_reconstruction/ha14_vector_hi_profiles_v2.csv,source-native deprojected HI surface density from published Figure 9 vector primitives,helium not applied; recovered quantity is HI surface density,83.6,88.5,source_kpc_times_frozen_over_source_distance,0.944632768362,1.0,raw_HI_to_common_1p33,1.33,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
UGC12506,calibration,raw_source_profile_ingested,data/stationary/source_reconstruction/ha14_vector_hi_profiles_v2.csv,source-native deprojected HI surface density from published Figure 9 vector primitives,helium not applied; recovered quantity is HI surface density,100.6,98,source_kpc_times_frozen_over_source_distance,1.02653061224,1.0,raw_HI_to_common_1p33,1.33,Sigma_neutral_1p33 = 1.33 * Sigma_HI_raw,0,1
