galaxy,stationary_role,sample_index,radius_kpc_source,sigma_hi_m0_mean_msun_pc2,sigma_hi_half_side_difference_msun_pc2,sigma_hi_approaching_msun_pc2,sigma_hi_receding_msun_pc2,derivation,source_figure,source_asset,helium_applied
NGC5907,calibration,10,10.533970869,5.646552534,0.434350258,5.212202276,6.080902791,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,11,11.587385100,5.140309101,0.922619381,4.217689719,6.062928482,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,12,12.640771207,4.172307296,0.271043916,3.901263380,4.443351212,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,13,13.694185438,4.223681607,0.179730908,4.403412515,4.043950699,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,14,14.747571544,4.588635873,0.499752109,5.088387982,4.088883765,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,15,15.800985775,5.098372656,0.505244559,5.603617215,4.593128097,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,16,16.854371882,6.082399748,0.417875612,5.664524136,6.500275360,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,17,17.907757988,6.007011869,0.563157566,5.443854303,6.570169435,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,18,18.961172219,5.601379901,0.099609884,5.700989785,5.501770017,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,19,20.014558326,4.792829707,0.958566646,5.751396353,3.834263061,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,20,21.067972557,4.754716863,0.880512397,5.635229260,3.874204466,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,21,22.121358663,2.451482423,0.494411248,2.945893671,1.957071174,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,22,23.174772894,1.977043230,0.000000000,1.977043230,1.977043230,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,23,24.228159001,2.585775415,0.010339288,2.575436126,2.596114703,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,24,25.281545107,4.261289600,0.030619939,4.291909539,4.230669661,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,25,26.334959338,4.365763917,0.088163444,4.277600473,4.453927361,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,26,27.388345445,3.700169032,0.100554618,3.599614414,3.800723650,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,27,28.441759676,1.507744582,0.261608757,1.769353339,1.246135825,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,28,29.495145782,1.467803177,0.209686285,1.258116893,1.677489462,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,29,30.548560013,1.375940653,0.317525371,1.058415282,1.693466024,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,30,31.601946120,1.121822093,0.053420783,1.068401310,1.175242876,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,31,32.655360350,1.132306205,0.053918866,1.078387338,1.186225071,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,32,33.708746457,1.142790316,0.054419656,1.088370659,1.197209972,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,33,34.762132564,1.001302187,0.130604739,0.870697447,1.131906926,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,34,35.815546795,0.925115750,0.489767434,0.435348316,1.414883184,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,35,36.868932901,1.033953710,0.380929475,0.653024235,1.414883184,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,36,37.922347132,0.728703114,0.386629009,0.342074105,1.115332123,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,37,38.975733239,0.762551120,0.352781003,0.409770117,1.115332123,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,38,40.029147469,0.976389903,0.138942220,0.837447683,1.115332123,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,39,41.082533576,0.975270569,0.044313168,0.930957401,1.019583737,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,40,42.135919683,0.826944623,0.002179114,0.824765508,0.829123737,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,41,43.189333914,0.745372661,0.020456604,0.724916057,0.765829265,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,42,44.242720020,0.663799346,0.038735448,0.625063898,0.702534794,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,43,45.296134251,0.582640198,0.042423700,0.625063898,0.540216498,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,44,46.349520358,0.488499755,0.110604260,0.599104015,0.377895495,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,45,47.402934588,0.433614499,0.165489516,0.599104015,0.268124983,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,46,48.456320695,0.433614499,0.165489516,0.599104015,0.268124983,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,47,49.509734926,0.217679165,0.217669152,0.000010013,0.435348316,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,48,50.563121033,0.217679165,0.217669152,0.000010013,0.435348316,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,49,51.616507139,0.217679165,0.217669152,0.000010013,0.435348316,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,50,52.669921370,0.217679165,0.217669152,0.000010013,0.435348316,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,51,53.723307477,0.217679165,0.217669152,0.000010013,0.435348316,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,52,54.776721708,0.217679165,0.217669152,0.000010013,0.435348316,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
NGC5907,calibration,53,55.830107814,0.217679165,0.217669152,0.000010013,0.435348316,Paper-I deterministic arithmetic mean of source-published approaching and receding Sigma_HI at identical native radii; not an author-published average,Allaert et al. 2015 Figure 29,Final_params_all.pdf,no recovery scaling; source quantity is explicitly Sigma_HI
